time_ms,ldr_signal_1,ldr_signal_2
23081,610,631
23132,606,615
23182,596,592
23233,584,565
23283,570,537
23334,556,512
23385,547,506
23436,547,524
23486,556,554
23536,570,584
23587,584,609
23638,597,627
23689,606,635
23739,609,633
23790,607,620
23840,599,598
23891,587,572
23942,574,545
23992,560,517
24043,549,505
24093,546,518
24144,553,546
24195,566,577
24246,581,603
24296,593,623
24347,604,634
24397,609,635
24448,608,625
24499,601,605
24549,590,579
24600,577,552
24650,563,524
24701,550,505
24752,546,512
24802,550,538
24853,562,568
24903,576,596
24954,590,618
25005,601,632
25056,608,636
25106,609,629
25157,604,611
25207,594,587
25257,581,559
25309,567,531
25359,554,509
25410,546,507
25460,548,530
25511,559,560
25562,572,589
25613,586,613
25663,599,629
25713,607,636
25764,609,632
25815,606,617
25866,597,594
25916,585,568
25967,572,540
26017,557,514
26067,547,505
26119,546,521
26169,555,550
26220,568,580
26270,582,606
26321,595,625
26372,605,634
26423,609,635
26473,608,623
26523,600,602
26574,589,577
26625,576,549
26676,562,522
26726,550,505
26777,545,513
26827,551,539
26878,563,571
26929,577,598
26979,591,620
27030,602,633
27080,608,635
27131,609,628
27182,603,610
27233,593,586
27283,581,559
27333,567,531
27384,553,508
27435,545,508
27486,548,530
27536,559,561
27587,573,589
27637,586,613
27688,599,629
27739,607,636
27789,609,632
27840,607,617
27890,597,595
27941,585,569
27992,572,541
28043,558,515
28093,548,505
28144,546,520
28194,554,548
28244,567,578
28296,581,604
28346,594,624
28397,605,634
28447,609,635
28498,609,624
28549,601,604
28599,590,579
28650,577,552
28700,563,524
28751,550,505
28802,546,512
28853,550,537
28903,562,568
28954,576,595
29004,589,617
29054,601,631
29106,608,636
29156,609,630
29207,605,613
29257,595,590
29308,583,563
29359,570,536
29409,555,511
29460,546,506
29510,547,525
29561,556,554
29612,570,584
29663,584,608
29713,596,626
29764,605,635
29814,609,634
29864,607,621
29916,599,600
29966,588,575
30017,575,548
30067,561,520
30118,549,505
30169,545,514
30220,552,541
30270,563,572
30320,577,598
30371,591,620
30422,602,632
30473,608,636
30523,609,628
30574,604,611
30624,593,587
30674,581,560
30726,567,532
30776,554,509
30827,546,507
30877,548,528
30928,558,558
30979,571,587
31030,585,611
31080,598,628
31130,606,635
,,
31181,609,633
31232,607,620
31283,599,598
31333,587,572
31384,574,544
31434,560,517
31485,548,504
31536,546,517
31586,553,545
31637,565,575
31687,579,602
31738,593,622
31789,603,633
31840,609,635
31890,609,627
31940,602,607
31991,592,583
32041,579,556
32093,566,529
32143,552,507
32194,545,509
32244,549,531
32295,559,562
32346,573,590
32396,587,614
32447,599,629
32497,607,635
32548,609,632
32599,606,617
32650,597,594
32700,585,569
32750,572,541
32801,558,515
32851,547,505
32903,546,519
32953,554,548
33004,566,578
33054,581,604
33105,594,623
33156,604,634
33206,609,635
33257,608,625
33307,601,605
33358,591,581
33409,578,554
33460,564,526
33510,551,506
33561,545,510
33611,550,534
33661,560,565
33713,574,592
33763,588,616
33814,600,630
33864,607,636
33915,609,631
33966,605,616
34016,596,593
34067,584,567
34117,571,539
34168,557,513
34219,547,505
34270,546,521
34320,554,549
34371,567,579
34421,581,605
34471,594,625
34523,604,634
34573,609,635
34624,608,624
34674,601,604
34725,590,580
34776,578,553
34827,564,525
34877,551,505
34927,545,511
34978,550,536
35028,561,566
35080,575,594
35130,589,616
35181,600,630
