time_ms, ldr_signal_1, ldr_signal_2
17980,1008,1009
18030,1007,1010
18081,1008,1010
18131,1008,1010
18183,1007,1010
18233,1008,1010
18284,1007,1009
18334,1007,1009
18385,1008,1009
18436,1008,1010
18487,1008,1009
18537,1007,1009
18587,1007,1010
18638,1007,1009
18689,1008,1009
18740,1007,1010
18790,1008,1009
18841,1008,1009
18891,1008,1010
18942,1007,1009
18993,1008,1009
19044,1008,1010
19094,1008,1010
19145,1007,1010
19195,1008,1010
19247,1007,1010
19297,1008,1010
19348,1007,1009
19398,1008,1010
19448,1007,1010
19500,1008,1009
19550,1008,1009
19601,1008,1009
19651,1007,1009
19702,1008,1009
19752,1008,1010
19804,1007,1009
19854,1008,1009
19905,1007,1009
19955,1007,1010
20006,1008,1009
20057,1008,1009
20108,1007,1010
20158,1007,1009
20209,1008,1010
20259,1008,1010
20311,1008,1009
20361,1008,1009
20411,1008,1009
20462,1007,1009
20512,1008,1009
20563,1007,1010
20614,1008,1009
20665,1008,1009
20715,1008,1009
20766,1008,1009
20816,1007,1010
20868,1008,1009
20918,1007,1009
20969,1008,1009
21019,1008,1009
21070,1007,1010
21121,1008,1009
21172,1007,1009
21222,1007,1009
21272,1007,1010
21323,1007,1010
21373,1007,1009
21425,1008,1010
21475,1007,1009
21526,1008,1009
21576,1008,1009
21627,1007,1009
21678,1007,1009
21729,1007,1009
21779,1008,1009
21830,1007,1009
21880,1007,1009
21932,1007,1010
21982,1008,1009
22033,1007,1010
22083,1007,1010
22134,1007,1010
22184,1009,1010
22235,1007,1009
22286,1007,1010
22336,1007,1009
22387,1007,1009
22437,1008,1009
22489,1009,1009
22539,1007,1010
22590,1008,1009
22640,1007,1009
22691,1007,1009

22742,1008,1009
22793,1008,1009
22843,1008,1009
22894,1008,1010
22944,1008,1010
22995,1007,1010
23046,1007,1009
23096,1008,1009
23147,1008,1009
23197,1008,1009
23248,1008,1009
23299,1007,1009
23350,1008,1009
23400,1007,1009
23451,1008,1010
23501,1008,1010
23553,1008,1009
23603,1007,1009
23654,1007,1009
23704,1008,1010
23755,1008,1009
23805,1008,1009
23857,1008,1010
23907,1008,1009
23958,1008,1009
24008,1007,1009
24058,1007,1009
24110,1008,1010
24160,1007,1009
24211,1007,1009
24261,1007,1010
24312,1007,1010
24363,1008,1010
24414,1007,1010
24464,1008,1010
24515,1008,1010
24565,1008,1010
24616,1007,1009
24667,1007,1009
24718,1008,1009
24768,1007,1009
24819,1007,1009
24869,1007,1009
24920,1007,1010
24971,1008,1009
25021,1009,1009
25072,1007,1010
25122,1007,1010
25174,1007,1009
25224,1007,1010
25275,1007,1010
25325,1008,1009
25376,1007,1009
25426,1007,1010
25478,1008,1009
25528,1007,1010
25579,1008,1009
25629,1008,1010
25680,1007,1010
25731,1007,1010
25782,1007,1010
25832,1007,1009
25882,1008,1009
25933,1008,1009
25984,1008,1009
26035,1007,1009
26085,1008,1010
26136,1007,1009
26186,1008,1009
26237,1008,1009
26288,1007,1010
26339,1008,1009
26389,1008,1009
26440,1007,1010
26490,1008,1010
26542,1007,1009
26592,1008,1010
26643,1007,1009
26693,1007,1009
26743,1007,1009
26795,1007,1009
26845,1007,1010
26896,1007,1009
26946,1008,1009
26997,1007,1009
27047,1007,1009
27099,1008,1009
27149,1008,1009
27200,1007,1010
27250,1008,1010
27301,1007,1009
27352,1007,1010
27403,1008,1009
27453,1007,1009
27504,1008,1009
27554,1008,1009
27604,1007,1009
27656,1007,1010
27706,1008,1009
27757,1007,1009
27807,1007,1009
27858,1008,1009
27909,1008,1009
27960,1008,1009
28010,1007,1009
28061,1007,1010
28111,1007,1009
28163,1008,1010
28213,1008,1010
28264,1007,1010
28314,1008,1010
28365,1008,1009

28416,1007,1009
28467,1007,1009
28517,1008,1009
28567,1008,1009
28618,1007,1010
28668,1008,1010
28720,1007,1009
28770,1008,1009
28821,1008,1009
28871,1007,1009
28922,1007,1009
28973,1007,1009
29024,1007,1009
29074,1007,1009
29125,1008,1009
29175,1008,1009
29227,1007,1010
29277,1007,1009
29328,1007,1009
29378,1008,1009
29429,1008,1009
29479,1007,1009
29530,1007,1009
29581,1007,1009
29631,1007,1009
29682,1007,1010
29732,1007,1009
29784,1007,1009
29834,1008,1009
29885,1007,1009
29935,1007,1009
29986,1008,1009
30036,1007,1009
30088,1008,1009
30138,1007,1009
30189,1007,1009
30239,1007,1009
30290,1007,1010
30341,1007,1009
30391,1008,1010
30442,1007,1010
30492,1007,1009
30543,1007,1009
30594,1007,1010
30645,1007,1009
30695,1007,1009
30746,1008,1010
30796,1007,1010
30848,1008,1009
30898,1008,1009
30949,1007,1009
30999,1007,1010
31050,1008,1009
31100,1007,1009
31152,1007,1010
31202,1007,1009
31253,1007,1009
31303,1008,1010
31353,1008,1009
31405,1008,1010
31455,1007,1009
31506,1007,1010
31556,1007,1010
31607,1007,1009
31657,1007,1009
31709,1008,1009
31759,1007,1009
31810,1007,1009
31860,1007,1010
31911,1008,1009
31962,1007,1010
32013,1008,1010
32063,1007,1010
32114,1008,1009
32164,1007,1009
32215,1008,1009
32266,1008,1009
32316,1007,1010
32367,1008,1009
32417,1008,1009
32468,1008,1010
32519,1007,1010
32570,1008,1009
32620,1007,1009
32671,1007,1010
32721,1008,1009
32773,1008,1010
32823,1007,1009
32874,1007,1009
32924,1007,1009
32975,1007,1010
33026,1008,1009
33076,1007,1009
33127,1007,1009
33177,1008,1009
33228,1007,1009
33278,1008,1010
33330,1007,1009
33380,1007,1010
33431,1007,1009
33481,1007,1010
33532,1007,1009
33583,1007,1009
33634,1007,1009
33684,1007,1010
33735,1007,1008
33785,1008,1010
33837,1008,1010
33887,1007,1009
33938,1007,1009
33988,1007,1009
34038,1007,1009

34089,1008,1009
34140,1008,1009
34191,1009,1009
34241,1007,1009
34292,1007,1009
34342,1007,1010
34394,1007,1010
34444,1007,1009
34495,1007,1009
34545,1007,1009
34596,1007,1009
34647,1008,1009
34698,1007,1009
34748,1007,1009
34799,1008,1010
34849,1008,1010
34900,1008,1009
34951,1007,1009
35001,1007,1010
35052,1008,1009
35102,1007,1009
35153,1007,1009
35204,1007,1009
35255,1007,1009
35305,1007,1010
35356,1008,1010
