time_ms, ldr_signal_1, ldr_signal_2
23080,911,914
23132,911,914
23182,911,914
23233,911,914
23283,911,914
23334,911,914
23385,911,914
23436,911,914
23486,911,914
23536,911,914
23587,911,914
23638,911,914
23689,911,914
23739,911,914
23790,911,914
23840,911,914
23890,911,914

23942,911,914
23992,911,913
24043,911,914
24093,910,914
24144,911,914
24195,911,914
24246,911,914
24296,911,915
24346,911,914
24397,911,914
24448,911,914
24499,911,914
24549,911,914
24600,911,914
24650,911,914
24701,911,913
24752,911,914
24802,911,914
24853,911,914
24903,911,914
24954,911,913
25005,911,914
25056,911,914
25106,911,914
25156,911,914
25207,910,914
25257,911,914
25309,911,914
25359,911,914
25410,911,914
25460,911,915
25511,911,914
25562,911,914
25612,911,914
25663,911,914
25713,911,914
25764,911,914
25815,911,913
25866,911,914
25916,911,914
25967,911,914
26017,911,914
26067,911,914
26119,911,914
26169,911,913
26220,911,913
26270,911,914
26321,911,914
26372,911,914
26422,911,913
26473,911,914
26523,911,914
26574,911,914
26625,911,913
26676,911,914
26726,911,915
26777,911,914
26827,911,914
26877,911,914
26929,911,913
26979,911,915
27030,911,913
27080,911,914
27131,911,914
27182,911,914
27233,911,914
27283,911,913
27333,911,914
27384,911,913
27435,910,914
27486,911,914
27536,911,913
27587,911,913
27637,911,914
27687,911,913
27739,911,913
27789,911,913
27840,911,914
27890,911,914
27941,911,913
27992,911,913
28043,911,913
28093,911,914
28143,911,913
28194,911,914
28244,911,914
28296,910,913
28346,911,914
28397,911,913
28447,911,913
28497,911,914
28549,910,913
28599,910,913
28650,911,914
28700,911,913
28751,911,913
28802,910,914
28853,910,914
28903,911,913
28953,910,914
29004,910,913
29054,911,913
29106,911,914
29156,910,913
29207,910,914
29257,910,914
29308,910,913
29359,911,913
29409,910,913
29460,910,913
29510,910,914
29561,910,914
29612,911,913
29663,911,913
29713,910,914
29763,910,913
29814,910,913
29864,911,913
29916,910,913
29966,911,913
30017,910,913
30067,910,913
30118,910,914
30169,910,913
30219,910,913
30270,910,913
30320,910,914
30371,910,914
30422,910,913
30473,911,913
30523,910,914
30574,911,913
30624,911,913
30674,910,914
30726,911,913
30776,911,913
30827,910,914
30877,910,914
30928,911,913
30979,911,913
31029,911,913
31080,911,913
31130,910,913
31181,910,914
31232,910,913
31283,910,913
31333,910,914
31384,910,914
31434,910,913
31484,910,913
31536,910,913
31586,911,913
31637,911,913
31687,910,914
31738,910,913
31789,911,913
31840,911,914
31890,910,913
31940,910,913
31991,911,912
32041,909,912
32093,910,912
32143,911,912
32194,910,913
32244,911,912
32294,910,913
32346,911,912
32396,911,913
32447,910,913
32497,910,913
32548,910,913
32599,910,913
32650,910,913
32700,910,914
32750,910,913
32801,911,913
32851,911,913
32903,910,913
32953,910,914
33004,911,913
33054,910,913
33105,911,913
33156,910,913
33206,910,913
33257,910,914
33307,910,913
33358,910,914
33409,910,913
33460,910,913
33510,910,913
33560,910,914
33611,910,913
33661,910,913
33713,911,913
33763,911,914
33814,910,913
33864,911,913
33915,911,913
33966,910,914
34016,910,914
34067,910,914
34117,910,914
34168,910,913
34219,910,914
34270,911,913
34320,910,913
34371,910,913
34421,910,913
34471,910,913
34523,910,914
34573,910,913
34624,910,913
34674,910,913
34725,910,914
34776,910,913

34826,911,913
34877,910,913
34927,910,913
34978,910,913
35028,910,913
35080,910,913
35130,910,914
35181,910,913
35231,910,913
35281,910,912
35333,910,914
35383,910,913
35434,911,913
35484,910,913
35535,910,913
35586,910,913
35636,910,913
35687,910,913
35737,911,913
35788,910,912
35838,911,913
35890,911,913
35940,910,913
35991,910,913
36041,910,913
36091,910,913
36143,910,913
36193,910,914
36244,910,914
36294,910,913
36345,911,913
36396,910,913
36447,911,913
36497,911,913
36547,911,913
36598,910,913
36648,910,912
36700,910,913
36750,910,913
36801,910,913
36851,910,913
36901,910,912
36953,910,913
37003,911,913
37054,911,913
37104,910,913
37155,910,913
37206,911,913
37257,910,913
37307,911,913
37357,910,913
37408,910,913
37458,910,913
37510,910,913
37560,910,913
37611,910,913
37661,910,913
37712,911,913
37763,910,913
37813,910,913
37864,910,913
37914,910,913
37965,911,913
38016,911,913
38067,910,913
38117,910,912
38167,910,913
38218,911,913
38268,910,913
38320,910,913
38370,910,913
38421,910,912
38471,910,913
38522,910,913
38573,910,913
38623,910,913
38674,909,913
38724,910,913
38775,910,913
38825,911,913
38877,910,913
38927,910,914
38978,910,913
39028,910,913
39078,911,913
39130,910,913
39180,910,913
39231,910,913
39281,909,913
39332,910,913
39383,910,913
39433,910,913
39484,910,913
39534,910,913
39585,911,913
39635,910,913
39687,910,913
39737,910,913
39788,910,913
39838,910,913
39888,911,913
39940,910,913
39990,910,913
40041,910,912
40091,910,913
40142,910,913
40193,910,913
40244,910,913
40294,910,913
40344,910,913
40395,909,913
40445,909,912
40497,910,913
40547,909,913
40598,910,913
40648,909,913
40698,910,913
40750,910,913
40800,910,913
40851,910,913
40901,909,912
40952,910,913
41003,910,913
41054,911,912
41104,910,912
41154,909,912
41205,910,913
41255,910,913
41307,910,912
41357,910,913
41408,910,912
41458,910,913
41509,909,912
41560,910,912
41610,910,913
41661,910,913
41711,910,913
41762,909,913
41812,910,912
41864,910,912
41914,910,912
41964,909,912
42015,909,912
42065,910,912
42117,910,912
42167,910,913
42218,911,913
42268,909,912
42319,910,912
42370,909,913
42420,910,912
42471,910,912
42521,910,912
42572,910,912
42622,909,912
42674,910,912
42724,910,912
42775,909,913
42825,909,913
42875,910,912
42927,910,912
42977,909,912
43028,910,912
43078,910,912
43129,910,912
43180,909,912
43230,910,912
43281,909,912
43331,909,912
43382,910,912
43432,910,913
43484,909,912
43534,909,912
43585,909,912
43635,909,912
43685,910,912
43737,910,912
43787,909,912
43838,910,912
43888,909,912
43939,909,912
43990,910,912
44041,910,912
44091,910,912
44141,909,912
44192,909,912
44242,910,912
44294,910,912
44344,909,912
44395,910,912
44445,910,912
44495,910,912
44547,909,913
44597,909,912
44648,909,912
44698,909,912
44749,909,912
44800,909,912
44851,909,912
44901,911,912
44951,909,912
45002,909,912
45052,910,912
45104,910,913
45154,910,911
45205,910,911
45255,909,912
45305,910,912
45357,910,913
45407,909,912
45458,910,912
45508,909,912
45559,909,912
45609,909,912
45661,909,913
45711,910,912
45761,910,912
45812,909,913
45862,909,912
45914,909,912
45964,909,912
46015,909,912
46065,909,913
46116,909,912
46167,909,913
46217,909,912
46268,910,912
46318,909,912
46369,909,913
46419,909,913
46471,909,912
46521,910,912
46571,909,912
46622,910,912
46672,910,912
46724,909,911
46774,909,912
46825,910,912
46875,909,913
46926,909,912
46977,909,912
47027,909,913
47078,910,912
47128,910,912
47179,910,912

47229,909,912
47281,910,912
47331,910,912
47382,909,912
47432,910,912
47482,910,912
47534,910,912
47584,910,912
47635,909,913
47685,909,912
47736,910,912
47787,910,913
47837,909,913
47888,910,912
47938,909,912
47989,909,912
48039,909,912
48091,909,913
48141,909,912
48192,909,912
48242,909,912
48292,910,913
48344,909,912
48394,909,912
48445,910,912
48495,909,912
48546,910,912
48596,909,912
48648,909,912
48698,910,912
48748,910,913
48799,909,912
48849,909,912
48901,910,912
48951,909,912
49002,909,912
49052,909,912
49102,909,912
49154,910,912
49204,909,912
49255,909,912
49305,909,912
49356,910,912
49406,909,912
49458,909,912
49508,909,912
49558,910,912
49609,910,912
49659,909,912
49711,909,913
49761,909,912
49812,910,912
49862,909,912
49913,909,912
49964,909,912
50014,909,912
50065,909,912
50115,909,912
50166,910,911
50216,909,912
50268,910,913
50318,910,913
50368,909,912
50419,909,912
50469,909,912
50521,910,912
50571,909,912
50622,909,912
50672,909,912
50723,910,912
50774,909,912
50824,909,912
50875,910,912
50925,909,912
50976,909,912
51026,909,912
51078,909,911
51128,909,912
51179,909,912
51229,909,912
51279,909,912
51331,909,913
51381,910,913
51432,909,911
51482,910,911
51533,910,911
51584,909,912
51634,909,912
51685,909,912
51735,910,912
51786,909,912
51836,909,912
51888,909,912
51938,910,912
51989,909,913
52039,909,912
52089,909,912
52141,909,912
52191,909,912
52242,909,912
52292,909,912
52343,909,912
52393,909,912
52445,908,912
52495,909,912
52545,909,912
52596,909,912
52646,909,913
52698,909,912
52748,909,912
52799,909,912
52849,909,912
52899,909,911
52951,908,911
53001,908,913
53052,909,912
53102,909,912
53153,909,912
53203,908,912
53255,909,912
53305,909,912
53355,909,912
53406,909,912
53456,909,912
53508,909,912
53558,909,912
53609,909,912
53659,909,912
53710,909,911
53761,909,912
53811,909,911
53862,909,912
53912,909,912
53963,908,911
54013,909,912
54065,909,912
54115,909,912
54165,909,912
54216,909,911
54266,909,912
54318,908,911
54368,909,912
54419,909,912
54469,908,911
54520,909,912
54571,909,911
54621,909,912
54672,909,912
54722,909,912
54773,909,912
54823,909,912
54875,908,912
54925,908,912
54976,908,911
55026,908,912
55076,909,912
55128,909,912
55178,909,912
55229,908,912
55279,909,912
55330,909,912
55380,908,912
55431,908,912
55482,909,911
55532,909,912
55583,909,912
55633,909,912
55685,908,912
55735,909,912
55786,909,912
55836,909,911
55886,909,912
55938,909,912
55988,909,912
56039,909,912
56089,908,911
56140,909,912
56190,909,912
56241,909,912
56292,909,912
56342,909,912
56393,909,912
56443,909,912
56495,909,912
56545,909,912
56596,909,912
56646,909,912
56696,909,912
56748,909,912
56798,909,911
56849,909,912
56899,909,911
56950,909,912
57000,908,912
57052,908,912
57102,908,912
57152,908,911
57203,909,912
57253,909,912
57305,908,911
57355,909,912
57406,909,912
57456,909,912
57506,909,911
57558,909,911
57608,909,912
57659,908,912
57709,909,911
57760,909,912
57810,908,912
57862,909,911
57912,908,911
57962,908,912
58013,909,912
58063,908,912
58115,909,911
58165,908,912
58216,909,911
58266,909,912
58317,908,911
58368,908,912
