time_ms, ldr_signal_1, ldr_signal_2
23080,968,974
23132,969,974
23182,969,975
23233,968,974
23283,969,974
23334,969,974
23385,968,975
23436,969,974
23486,968,974
23536,969,974
23587,967,974
23638,969,974
23689,968,974
23739,967,973
23790,968,974
23840,968,974
23890,968,974

23942,968,974
23992,968,975
24043,969,974
24093,968,974
24144,968,974
24195,969,974
24246,968,974
24296,968,975
24346,968,974
24397,969,974
24448,968,975
24499,968,974
24549,968,974
24600,968,974
24650,968,974
24701,968,974
24752,968,974
24802,968,974
24853,968,974
24903,968,974
24954,968,974
25005,968,975
25056,968,974
25106,968,975
25156,968,975
25207,968,974
25257,967,974
25309,968,975
25359,968,974
25410,968,974
25460,968,974
25511,969,974
25562,968,974
25612,969,974
25663,968,974
25713,968,975
25764,968,975
25815,968,974
25866,968,974
25916,967,974
25967,967,974
26017,968,974
26067,968,974
26119,968,974
26169,968,974
26220,968,974
26270,967,974
26321,969,974
26372,967,974
26422,968,975
26473,968,974
26523,968,974
26574,968,974
26625,968,974
26676,969,974
26726,968,975
26777,967,974
26827,968,974
26877,968,974
26929,968,974
26979,969,974
27030,968,974
27080,969,974
27131,968,974
27182,968,975
27233,968,974
27283,967,974
27333,968,974
27384,967,974
27435,968,975
27486,969,974
27536,968,975
27587,968,974
27637,968,974
27687,968,974
27739,968,975
27789,969,974
27840,968,974
27890,968,974
27941,968,974
27992,968,975
28043,968,974
28093,968,974
28143,968,974
28194,968,974
28244,968,974
28296,968,974
28346,969,974
28397,968,974
28447,968,974
28497,968,974
28549,968,974
28599,968,975
28650,968,975
28700,969,975
28751,968,974
28802,969,974
28853,968,975
28903,968,974
28953,968,974
29004,969,974
29054,968,975
29106,968,974
29156,968,974
29207,968,974
29257,968,975
29308,968,974
29359,968,974
29409,968,974
29460,968,975
29510,968,974
29561,968,975
29612,968,974
29663,968,974
29713,969,974
29763,968,974
29814,968,974
29864,968,975
29916,968,974
29966,968,975
30017,969,974
30067,968,974
30118,968,974
30169,968,974
30219,969,974
30270,969,974
30320,968,974
30371,969,974
30422,968,974
30473,968,974
30523,968,974
30574,968,974
30624,969,974
30674,968,974
30726,968,974
30776,968,974
30827,968,974
30877,968,974
30928,968,974
30979,968,974
31029,969,974
31080,969,974
31130,969,974
31181,968,975
31232,968,974
31283,969,974
31333,969,974
31384,968,974
31434,969,974
31484,968,975
31536,968,975
31586,969,974
31637,969,975
31687,968,974
31738,968,974
31789,969,975
31839,969,974
31890,968,974
31940,969,974
31991,969,974
32041,969,974
32093,968,975
32143,968,974
32194,969,974
32244,969,974
32294,968,975
32346,969,974
32396,968,974
32447,969,974
32497,968,974
32548,968,974
32599,969,975
32650,968,974
